;;;;;;OneShot Switch Event Over Loop, BOM
;;;;;;semicolon separated values in text file, import into LibreOffice Calc;;;TOTAL
;;;;;;4/1/16 15214^2 Preliminary;;;=SUM(J7:J100)


LINE; REF; QTY; EPCCS TYP;EPCCS PN;MFG,PN; DESCRIPTION; NOTES; COST EA; LINE COST;BIN
1;C1;1;C-C;0603NPO50V471J;TDK,C1608C0G1H470J080AA;CAP CER 470PF 50V 5% NPO 0603;(1);0.1;=C7*I7;ADPT
2;C2;1;C-C;0603X7R50V103K;MURATA,GRM188R71H103KA01J;CAP CER 10000PF 50V 10% X7R 0603;(1);0.1;=C8*I8;HT
3;C3;2;C-C;0603NPO50V102J;TDK,C1608C0G1H102J080AA;CAP CER 1000PF 50V 5% NPO 0603;(1);0.11;=C9*I9;CC01
4;C4;1;C-C;0603X7R50V104K;YAGEO,CC0603KRX7R9BB104;CAP CER 0,1UF 50V 10% X7R 0603;(1);0.65;=C10*I10;ADPT
5;C5;1;C-C;1206X5R50V106K;SAMSUNG,CL31A106KBHNNNE;CAP CER 10UF 50V 10% X5R 1206;(1);0.65;=C11*I11;CC01
6;J1;=4/16;J-HDR3.5mm;PST1,0&16-3,5;PHOENIX CONTACT,1945232;CONN HEADER STRIP PIN 16POS 3.5MM;(2);1.13;=C12*I12;SHLD
7;D1;2;D-LED;5MMGN;CREE,C503B-GCN-CY0C0791;LED GREEN 5MM 3.2V@20MA;(1);0.24;=C13*I13;ONESHOT
8;D2;2;D-LED;5MMRD;CREE,C503B-RCN-CW0Z0AA1;LED RED 5MM 2.1V@20MA;(1);0.15;=C14*I14;ONESHOT
9;Q1,Q2,Q3,Q4,Q8,Q9;6;Q-PNP;K3N;DIODES,MMBT3906-7-F;TRANSISTOR PNP GP 40V 200MA SOT23;(1);0.12;=C15*I15;HT
10;Q5,Q6,Q7;3;Q-NPN;K1N;DIODES,MMBT3904-7-F;TRANSISTOR NPN GP 40V 200MA SOT23;(1);0.12;=C16*I16;IRRIGATE7
11;Q10;1;Q-NCH;K38;DIODES,BSS138-7-F;MOSFET N-CH 200MA 50V SOT23;(1);0.35;=C17*I17;ADPT
12;R1;1;R-C;0805KX309R;YAGEO,RC0805FR-07309RL;RESISTOR CHIP 1% 309OHM 0805;(1);0.1;=C18*I18;HT
13;R2;1;R-C;0805KX100R;YAGEO,RC0805FR-07100RL;RESISTOR CHIP 1% 100OHM 0805;(1);0.1;=C19*I19;ADPT
14;R3;1;R-C;0805KX9312;YAGEO,RC0805FR-0793K1RL;RESISTOR CHIP 1% 93K1OHM 0805;(1);0.1;=C20*I20;HT
15;R4,R5;2;R-C;0805KX4992;YAGEO,RC0805FR-0749K9L;RESISTOR CHIP 1% 49K9OHM 0805;(1);0.1;=C21*I21;IRRIGATE7
16;R6,R11;2;R-C;0805KX1002;YAGEO,RC0805FR-0710KL;RESISTOR CHIP 1% 10KOHM 0805;(1);0.1;=C22*I22;ADPT
17;R7;1;R-C;0805KX180R;YAGEO,RC0805FR-07180RL;RESISTOR CHIP 1% 180OHM 0805;(1);0.1;=C23*I23;IRRIGATE7
18;R8;1;R-C;0805KX1001;YAGEO,RC0805FR-071KL;RESISTOR CHIP 1% 1KOHM 0805;(1);0.1;=C24*I24;HT
19;R9;1;R-C;0805KX1004;YAGEO,RC0805FR-071ML;RESISTOR CHIP 1% 1MOHM 0805;(1);0.1;=C25*I25;MT
20;R10;1;R-C;0805KX3244;SAMSUNG,RC2012F3244CS;RESISTOR CHIP 1% 3M24OHM 0805;(1);0.1;=C26*I26;ONESHOT
21;U1;1;U-LINEAR;Y3T;TI,TLVH431AIDBZ;1V24REF SHUNT ADJ 18V SOT23;(1);0.74;=C27*I27;HT
22;U2;1;U-TIME;ICM7555;INTERSIL,ICM7555IBAZ-T;TIMER 555 8SOIC;(1);.78;=C28*I28;HT
23;;1;J-HDR3.5mm;PT1,5&4-PVH-3,5;PHOENIX CONTACT,1984031;CONN PLUG STRIP 4POS 3.5MM;(2);0.86;=C29*I29;SHLD

NOTES
(1);Alternate part with same or better rating allowed.
(2);PST 1,0/4-3,5 Mates with PT 1,5/4-PVH-3,5
(4);Do not solder on circuit board.

